Date,Time,Headline,Description,Source,RelevanceScore,EventType,SignalScore,SignalLabel
2026-01-12,03:27:03,"Stocks to watch today: TCS, HCL Tech, IREDA, Signature Global among shares in focus today","Indian equity markets ended last week on a negative note amid rising geopolitical tensions and renewed U.S. tariff threats. At the close, BSE Sensex tumbled 604.72 points, or 0.72 per cent, to settle at 83,576.24 on Friday, January 9, 2026. The 50-share NSE Nifty dropped 193.55 points or 0.75 per cent to 25,683.30. However, market focus this week will shift to third-quarter earnings from India Inc., with heavyweight IT companies like HCL Tech, TCS, and Infosys scheduled to report their results this week. Meanwhile, Gift Nifty opened at 25,795.50 against the previous close of 25,816, with a dip of 20.5 points. Also, Foreign Institutional Investors (FIIs) offloaded equities worth Rs 3,769.31 crore on January 9, 2026, while Domestic Institutional Investors (DIIs) extended their buying streak with net purchases of Rs 5,595.84 crore. In this backdrop, there are some stocks that are likely to be in focus today. Let's have a look at them.",indiatvnews,9,FINANCIAL,0.0354917561635375,neutral
2026-01-12,02:30:00,Infosys Q3 Results Preview: Margin Seen Firm Even As Growth Remains Seasonally Soft,"Infosys Ltd. is expected to report muted sequential growth in the December quarter, with margins seen holding firm even as seasonality and furloughs weigh on revenue momentum. The Bengaluru-based software developer will report its third-quarter results on Jan. 14.Bloomberg estimates show revenue and operating profit rising about 2% quarter-on-quarter, while net profit is seen little changed. EBIT margin is expected to inch up to 21.14% from 21.02% in the previous quarter.",ndtvprofit,14,FINANCIAL,-0.9321258328855038,negative
2026-01-12,01:27:47,"Stock Market Highlights 12 Jan 2026: Sensex settled 301.93 pts or 0.36% higher at 83,878.17 after hitting an intraday low of 82,861.07. Nifty 50 increased by 106.95 pts or 0.42% to 25,790.25","Sensex, Nifty, Share Prices Highlights: Indian equity markets, which traded volatile in early deals, turned positive by noon on Monday amid rising geopolitical concerns. Nearly 1,457 stocks advanced, 2,786 declined and 209 remained unchanged of all the 4,452 stocks that were traded on the BSE at around 3 pm. Analysts said the Q3 earnings season, beginning this week, will be a key trigger, with IT majors TCS and HCLTech set to announce results on January 12.Emkay Global expects a pickup in Q3FY26 earnings, projecting 10.7 per cent year-on-year topline growth, supported by festive demand and GST rate-cut tailwinds. However, 42 per cent of its coverage universe may report PAT growth of less than 10 per cent. The Nifty has corrected around 2.5 per cent from its January peak, and near-term volatility is likely until there is clarity on an India–US trade agreement.Derivatives data suggests caution, with heavy call writing limiting upside potential. The put-call ratio at 0.48 indicates a seller-dominated market, despite limited scope for short covering.",thehindubusinessline,14,FINANCIAL,-0.5253949984908104,negative
2026-01-12,00:20:41,"Holiday-shortened Q3 won’t hold surprises for IT, but investors will search for demand signals","Revenue growth for most technology firms in the seasonally weak Q3 is muted due to furloughs, lower utilization and continued macro-economic uncertainty.",livemint,6,FINANCIAL,-0.0009808428585529327,neutral
2026-01-12,00:16:01,Infosys risks losing $150 million a year from one of its largest clients,"Infosys provided iPhone cases, laptops, Microsoft 365 subscriptions, and fingerprint readers for Daimler's IT operations, but there were differences between the two over execution and billing delays.",livemint,3,GOVERNANCE,0.015857134945690632,neutral
2026-01-11,17:44:01,"Stock market outlook: Q3 earnings, inflation data in focus this week; global cues to steer sentiment","Indian equity markets brace for an event-packed week, with the December quarter earnings season kicking off and key inflation data releases from India and the US on the horizon. Investors will closely monitor corporate results from IT, banking, and energy giants, alongside global macro and geopolitical developments, for near-term market direction.",toi,11,FINANCIAL,-0.20179182291030884,negative
2026-01-11,10:04:12,Heavyweight IT earnings vs. external risks: Can Indian stock market rebound next week? Experts decode,"Indian equities faced a major sell-off last week, with both Nifty 50 and Sensex declining over 2%. Investor sentiment was affected by geopolitical issues and US tariff threats, while further selling by foreign investors added pressure, leading to cautious market conditions ahead of Q3 earnings.",livemint,8,FINANCIAL,0.0069585200399160385,neutral
2026-01-11,10:02:16,"Stock markets this week: Q3 earnings, inflation data, global trends to be key drivers",Foreign investors’ trading activity to be on the radar as well,thehindubusinessline,5,FINANCIAL,0.7297733500599861,positive
2026-01-11,09:47:36,Q3 earnings inflation data global trends key drivers for markets this week Analysts,"New Delhi, Jan 11 (PTI) In an event-heavy week ahead, stock markets are expected to track Q3 corporate earnings from",theweek_in,8,FINANCIAL,-0.07220694422721863,negative
2026-01-11,08:49:29,Mcap Of 7 Of Top-10 Most Valued Firms Erodes By Rs 3.63 Lakh Crore; Reliance Biggest Laggard,"The combined market valuation of seven of the top-10 most valued firms eroded by Rs 3,63,412.18 crore last week, with Reliance Industries Ltd. emerging as the biggest laggard, amid a bearish trend in equities. Last week, the BSE benchmark declined by 2,185.77 points or 2.54%. While Reliance Industries, HDFC Bank, Tata Consultancy Services, Bharti Airtel, Infosys, Bajaj Finance and Larsen and Toubro faced erosion from their valuation, ICICI Bank, SBI, and Hindustan Unilever were the gainers.",ndtvprofit,3,GOVERNANCE,0.00884179212152958,neutral
2026-01-12,10:37:03,Blazing Start: Fire Disrupts Train Services at Baghajatin Station,A fire at Baghajatin station in South Kolkata disrupted local train services early Monday morning. The quick-spreading blaze filled the platform with smoke before firefighters contained it. No casualties were reported. Train services on Eastern Railway's Sealdah South section were temporarily halted and an investigation is underway.,Devdiscourse,6,GOVERNANCE,0.061052363365888596,neutral
2026-01-12,10:32:08,"Royal Orchid Hotels Signs Deal for 43-Room Regenta Place Udaipur Hotel, Opening March 2026","Royal Orchid Hotels Ltd has signed a deal for Regenta Place Udaipur, a 43-room hotel in Rajasthan scheduled to open by March 2026. The property will feature a 7,000 sq. ft. indoor banquet hall and 30,000 sq. ft. landscaped lawn, positioning it for both accommodation and event hosting services in the popular tourist destination.",scanx.trade,6,GOVERNANCE,-0.8198522552847862,negative
2026-01-12,10:16:00,TCS Q3 Results LIVE: India's largest IT services firm to announce Dec quarter earnings today; what to expect?,"TCS Q3 Results LIVE: The October-December period was marked by some crucial strategic announcements by the IT services behemoth, including its largest ever acquisition of Coastal Cloud and data centre investments.",Moneycontrol,14,FINANCIAL,-0.7423589304089546,negative
2026-01-12,10:06:23,"Nifty Q3 results: Earning upcycle to steer FY26 EPS; IT, autos, financial stocks in focus","JM Financial projects Q3FY26 PAT growth for Nifty50 at 9.8% YoY, led by IT services, auto, metals & mining, telecom, and industrials. Growth outside BFSI and in the JM Financial universe is notably strong, with positive domestic flows and sectoral shifts.",Business Today,8,FINANCIAL,-0.92750209197402,negative
2026-01-12,10:04:19,TCS Q3 Results Live Updates: Street expects muted but stable performance; Stock trades lower,"TCS Q3 Results Live Updates: Tata Consultancy Services (TCS) Ltd. is set to report its earnings for the third quarter on Monday, January 12. The Street is anticipating a muted but stable December quarter performance, with the spotlight firmly on the TCS's AI-led growth push, capital allocation and margin resilience. The Street is estimating TCS to post flattish sequential revenue growth, reflecting a still-cautious global tech spending environment. Its margins are expected to remain broadly flat, several analysts have flagged downside risks. TCS shares are trading in the red today The stock reported its worst annual performance since the Global Financial Crisis in 2008. TCS shares declined 21% in 2025, marketing their steepest annual decline in nearly 17 years. In 2008, the stock had fallen 56% amid the global meltdown. It was also the second negative year for the stock in the last eight years, after declining 12.9% in 2022.",CNBC TV18,12,FINANCIAL,0.005319722928106785,neutral
2026-01-12,09:22:00,"TCS, HCL Tech kick off IT earnings today: Why AI matters more than numbers","As TCS and HCL Tech report Q3 results, investor focus shifts from numbers to AI's impact. While traditional IT services face headwinds, AI adoption is expected to drive significant growth and business-accretive deals, potentially revitalizing the sector's trajectory through 2026 and beyond.",The Economic Times,14,FINANCIAL,-0.85893664509058,negative
2026-01-12,08:57:03,"Stocks to watch today: TCS, HCL Tech, IREDA, Signature Global among shares in focus today","Stocks to watch today: IT giant Tata Consultancy Services (TCS) is another major company that will announce third-quarter earnings today. However, the company is expected to announce its results after market hours.",India TV News,9,FINANCIAL,0.8503715693950653,positive
2026-01-12,08:15:03,JM Financial pegs 9.8% YoY rise in Nifty50 PAT in Q3FY26; check top drivers,"The growth, according to analysts Venkatesh Balasubramaniam, Shanay Mehta and Shalin Choksy, will be led by IT services, automobiles, metals & mining, telecom and industrials",Business Standard,5,GOVERNANCE,-0.6184936165809631,negative
2026-01-12,06:30:49,"Meta Shuts 550,000 Accounts On Australia’s Kids Social Media Ban","Meta Platforms Inc. said it has shut down almost 550,000 accounts in Australia to comply with the country’s landmark social media ban for children.
The social media giant has closed around 330,000 Instagram accounts, 173,000 Facebook accounts and almost 40,000 Threads accounts belonging to people believed to be under 16 years of age.
The law mandates services such as ByteDance Ltd.’s TikTok and Instagram keep under-16s off their platforms or face fines of up to A$49.5 million.",NDTV Profit,3,GOVERNANCE,0.03927100449800491,neutral
2026-01-12,06:25:00,"TCS Q3 Results 2026: Date, Interim Dividend Announcement, Share Price History And More","TCS Q3: Tata Consultancy Services Ltd. (TCS) has announced that its Board of Directors will meet next week to consider and approve the audited standalone and consolidated financial results of the company for the quarter and nine-month period ended Dec. 31, 2025. Through these results, the Indian IT giant will share its revenue performance, profit figures and overall financial health for the period under review.",NDTV Profit,15,FINANCIAL,0.8575835637748241,positive
2025-12-29,05:31:33,World Class Benchmarking of Bangkok Aviation Fuel Services PCL,Bangkok Aviation Fuel Services Public Company Limited (BAFS TB): Profitable Growth rank of 1 was up compared to the prior period’s 5th rank.,becomeabetterinvestor.net,6,FINANCIAL,-0.9415826499462128,negative
